"","scenario_adopt","scenario_capacity","strategy","cost_per_network_user","cost_per_smartphone_user","private_cost","government_cost","societal_cost","social_cost"
"1","Baseline (4% Adoption Growth)","10 Mbps Per User","Active",114.714901513435,343.76625465648,146820161,-14997682,131822479,131822479
"2","Baseline (4% Adoption Growth)","10 Mbps Per User","Baseline",295.835034808223,886.529130657726,378630386,-34603942,344026444,344026444
"3","Baseline (4% Adoption Growth)","10 Mbps Per User","Passive",218.709267347465,655.40626982882,279919430,-26255073,253664357,253664357
"4","Baseline (4% Adoption Growth)","10 Mbps Per User","SRN",114.714901513435,343.76625465648,146820161,-14997682,131822479,131822479
"5","Baseline (4% Adoption Growth)","20 Mbps Per User","Active",173.831770414183,520.921832013168,222482068,-21397085,201084983,201084983
"6","Baseline (4% Adoption Growth)","20 Mbps Per User","Baseline",472.201565784025,1415.04688206082,604356618,109144013,713500631,713500631
"7","Baseline (4% Adoption Growth)","20 Mbps Per User","Passive",337.602425246314,1011.69350937618,432087216,-39125258,392961958,392961958
"8","Baseline (4% Adoption Growth)","20 Mbps Per User","SRN",173.831770414183,520.921832013168,222482068,-21397085,201084983,201084983
"9","Baseline (4% Adoption Growth)","5 Mbps Per User","Active",82.5350863759601,247.332971975659,105634181,-11514218,94119963,94119963
"10","Baseline (4% Adoption Growth)","5 Mbps Per User","Baseline",199.295765976232,597.229811774016,255072672,-24153567,230919105,230919105
"11","Baseline (4% Adoption Growth)","5 Mbps Per User","Passive",152.137613976419,455.910932747669,194716368,-19048692,175667676,175667676
"12","Baseline (4% Adoption Growth)","5 Mbps Per User","SRN",82.5350863759601,247.332971975659,105634181,-11514218,94119963,94119963
"13","High (6% Adoption Growth)","10 Mbps Per User","Active",116.313764221432,287.967458657867,180127101,-17814748,162312353,162312353
"14","High (6% Adoption Growth)","10 Mbps Per User","Baseline",307.339882128151,760.906375896865,475956069,-42835642,433120427,433120427
"15","High (6% Adoption Growth)","10 Mbps Per User","Passive",223.239215797695,552.691507117369,345715170,-31820006,313895164,313895164
"16","High (6% Adoption Growth)","10 Mbps Per User","SRN",116.313764221432,287.967458657867,180127101,-17814748,162312353,162312353
"17","High (6% Adoption Growth)","20 Mbps Per User","Active",188.084067799237,465.655044187801,291272818,-27215333,264057485,264057485
"18","High (6% Adoption Growth)","20 Mbps Per User","Baseline",522.97548673635,1294.77300355549,809896051,253127954,1063024005,1063024005
"19","High (6% Adoption Growth)","20 Mbps Per User","Passive",367.421056404011,909.654232053102,568999638,32606303,601605941,601605941
"20","High (6% Adoption Growth)","20 Mbps Per User","SRN",188.084067799237,465.655044187801,291272818,-27215333,264057485,264057485
"21","High (6% Adoption Growth)","5 Mbps Per User","Active",82.0144178955478,203.049773625446,127010070,-13322166,113687904,113687904
"22","High (6% Adoption Growth)","5 Mbps Per User","Baseline",206.117663278082,510.30228516799,319200203,-29577402,289622801,289622801
"23","High (6% Adoption Growth)","5 Mbps Per User","Passive",154.425957506985,382.324919426006,239148825,-22806739,216342086,216342086
"24","High (6% Adoption Growth)","5 Mbps Per User","SRN",82.0144178955478,203.049773625446,127010070,-13322166,113687904,113687904
"25","Low (2% Adoption Growth)","10 Mbps Per User","Active",114.48752144766,415.961117011006,120638707,-12783282,107855425,107855425
"26","Low (2% Adoption Growth)","10 Mbps Per User","Baseline",284.785237746363,1034.69429771329,300086179,-27960759,272125420,272125420
"27","Low (2% Adoption Growth)","10 Mbps Per User","Passive",213.94637041058,777.319397705018,225441281,-21647371,203793910,203793910
"28","Low (2% Adoption Growth)","10 Mbps Per User","SRN",114.48752144766,415.961117011006,120638707,-12783282,107855425,107855425
"29","Low (2% Adoption Growth)","20 Mbps Per User","Active",164.518464916943,597.735749455218,173357713,-17242200,156115513,156115513
"30","Low (2% Adoption Growth)","20 Mbps Per User","Baseline",435.574927305718,1582.55005447825,458977497,15522622,474500119,474500119
"31","Low (2% Adoption Growth)","20 Mbps Per User","Passive",316.690505519451,1150.61392505448,333705653,-30804253,302901400,302901400
"32","Low (2% Adoption Growth)","20 Mbps Per User","SRN",164.518464916943,597.735749455218,173357713,-17242200,156115513,156115513
"33","Low (2% Adoption Growth)","5 Mbps Per User","Active",85.0821322010993,309.124158690315,89653425,-10162583,79490842,79490842
"34","Low (2% Adoption Growth)","5 Mbps Per User","Baseline",196.569163009809,714.183760654291,207130431,-20098665,187031766,187031766
"35","Low (2% Adoption Growth)","5 Mbps Per User","Passive",152.714149192201,554.847788458886,160919175,-16190162,144729013,144729013
"36","Low (2% Adoption Growth)","5 Mbps Per User","SRN",85.0821322010993,309.124158690315,89653425,-10162583,79490842,79490842
